Wavelength data table
Sample name	250.0nm	300.0nm	350.0nm	400.0nm	450.0nm	500.0nm	550.0nm	600.0nm	650.0nm	700.0nm	750.0nm	800.0nm	
'55% Anthracene(EM)			22.89	84.63	9.900	1.206	0.739					

Sample:	'55% Anthracene(EM)
File name:	55% Anthracene.FDS
Run date:	'11:45:58, 03/22/2021
Operator:	Admin
Comment:	'55% Anthracene

Instrument
Model:	F-2700 FL Spectrophotometer
Serial number:	2746-002
ROM Version:	4J14000 06

Instrument parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	283.0 nm
EM  Start WL:	350.0 nm
EM  End WL:	550.0 nm
Scan speed:	300 nm/min
Delay:	0.0 s
EX Slit:	2.5 nm
EM Slit:	2.5 nm
PMT Voltage:	700 V
Response:	0.08 s
522.5	1.072
523.0	1.032
523.5	0.856
524.0	0.945
524.5	0.951
525.0	0.906
525.5	0.994
526.0	0.916
526.5	0.966
527.0	0.746
527.5	0.857
528.0	0.931
528.5	0.910
529.0	0.913
529.5	0.840
530.0	0.724
530.5	0.869
531.0	1.132
531.5	0.963
532.0	0.857
532.5	0.809
533.0	0.924
533.5	0.744
534.0	0.786
534.5	0.705
535.0	0.809
535.5	0.741
536.0	0.826
536.5	0.685
537.0	0.821
537.5	0.831
538.0	0.737
538.5	0.703
539.0	0.874
539.5	0.795
540.0	0.876
540.5	0.866
541.0	0.922
541.5	0.864
542.0	0.976
542.5	0.852
543.0	0.866
543.5	0.774
544.0	0.715
544.5	0.860
545.0	0.882
545.5	0.857
546.0	0.939
546.5	0.748
547.0	0.785
547.5	0.829
548.0	0.647
548.5	0.761
549.0	0.783
549.5	0.673
550.0	0.739

